DAY,Room,Section,8:30-09:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5.00,5:00-6:00
Monday,802,1A,DM,FIT,C LAB (810),,LUNCH,TC,,,,
,803,1B,C lab 811,DM,FIT,TC,,WT,WT LAB (811),,,
,804,1C,WT LAB(810),,FIT,C,,TC,,,,
,Room,Section,,,10:30-11:30,11:30-12:30,12:30-1:30,1:30-2:30,2:30-3:00,3:00-4:00,4:00-5.00,5:00-6:00
,814,1 EA,,,,FIT,C,DM,LUNCH,WT,C LAB (810),
,815,1 EB,,,WT,FIT,FIT LAB (810),,,DM,TC,
DAY,Room,Section,8:30-09:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5.00,5:00-6:00
Tuesday,802,1A,FIT  ,DM,C,TC,LUNCH,WT,,,,
,803,1B,DM,C,FIT,WT,,,,,,
,804,1C,DM,FIT LAB(811),,WT,,C,,,,
,Room,Section,,,,11:30-12:30,12:30-1:30,1:30-2:30,2:30-3:00,3:00-4:00,4:00-5.00,5:00-6:00
,814,1 EA,,,,FIT,FIT LAB (810),,LUNCH,WT,TC,
,815,1 EB,,,,FIT,WT LAB (811),,,DM,C,
DAY,Room,Section,8:30-09:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5.00,5:00-6:00
Wednesday,802,1A,DM,C,FIT,WT,LUNCH,TC,WT LAB (811),,,
,803,1B,C lab 811,DM,FIT LAB (811),,,WT,C,,,
,804,1C,DM,WT,FIT,C,,TC,,,,
,Room,Section,,,,11:30-12:30,12:30-1:30,1:30-2:30,2:30-3:00,3:00-4:00,4:00-500,5:00-6:00
,814,1 EA,,,,FIT,C ,WT,LUNCH,DM,TC,
,815,1 EB,,,,FIT,DM,C,,WT,C LAB (810),
DAY,Room,Section,8:30-09:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5.00,5:00-6:00
Thursday,802,1A,FIT  ,DM,C,WT,LUNCH,,,,,
,803,1B,DM,C,FIT,TC,,WT,,,,
,804,1C,DM,WT,TC,C,,FIT,C LAB (707),,,
,Room,Section,,,,11:30-12:30,12:30-1:30,1:30-2:30,2:30-3:00,3:00-4:00,4:00-500,5:00-6:00
,814,1 EA,,,,FIT,WT LAB (810),,LUNCH,DM,TC,C
,815,1 EB,,,,WT,DM,TC,,FIT,C,
DAY,Room,Section,8:30-09:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-500,5:00-6:00
Friday,802,1A,,FIT Lab (810),,C,LUNCH,WT,Bridge Course (802),,,
,803,1B,,,C,FIT,,TC,,,,
,804,1C,,,FIT,WT,,DM,,,,
,814,1 EA,,,DM,C,,WT,,,,
,815,1 EB,,,WT,TC,,C,,,,
